location,Population,HIghestInfectionCount,PercentOfPopulationInfected
San Marino,33690,25292,75.07
Cyprus,896007,660854,73.76
Brunei,449002,315733,70.32
Austria,8939617,6081287,68.03
South Korea,51815808,34571873,66.72
Faeroe Islands,53117,34658,65.25
Slovenia,2119843,1347064,63.55
Gibraltar,32677,20550,62.89
Martinique,367512,230354,62.68
Andorra,79843,48015,60.14
Jersey,110796,66391,59.92
Luxembourg,647601,386030,59.61
Saint Pierre and Miquelon,5885,3426,58.22
Denmark,5882259,3417017,58.09
France,67813000,38997490,57.51
Iceland,372903,209328,56.13
Guernsey,63329,35326,55.78
Portugal,10270857,5631629,54.83
Liechtenstein,39355,21526,54.7
Latvia,1850654,976798,52.78
Greece,10384972,5464525,52.62
Guadeloupe,395762,203235,51.35
Israel,9449000,4841772,51.24
Reunion,974062,494595,50.78
Switzerland,8740471,4425596,50.63
Falkland Islands,3801,1923,50.59
Saint Barthelemy,10994,5507,50.09
Georgia,3744385,1855289,49.55
Lithuania,2750058,1350542,49.11
Netherlands,17564020,8620051,49.08
Singapore,5637022,2739037,48.59
Seychelles,107135,51058,47.66
Bahrain,1472237,696614,47.32
Monaco,36491,17181,47.08
New Zealand,5185289,2422392,46.72
Germany,83369840,38437756,46.11
Niue,1952,895,45.85
Cayman Islands,68722,31472,45.8
Estonia,1326064,602909,45.47
Isle of Man,84534,38008,44.96
Czechia,10493990,4684233,44.64
Australia,26177410,11678853,44.61
Italy,59037472,26318717,44.58
Bonaire Sint Eustatius and Saba,27052,11922,44.07
Nauru,12691,5393,42.49
Cook Islands,17032,7218,42.38
Aruba,106459,44224,41.54
Belgium,11655923,4829921,41.44
European Union,450146793,184587038,41.01
Saint Helena,5401,2166,40.1
Montenegro,627082,251280,40.07
Barbados,281646,110132,39.1
Marshall Islands,41593,16138,38.8
Saint Martin (French part),31816,12324,38.74
Puerto Rico,3252412,1252713,38.52
Serbia,6871547,2583470,37.6
United Kingdom,67508936,24812582,36.75
Maldives,523798,186694,35.64
Palau,18084,6249,34.56
Ireland,5023108,1725026,34.34
High income,1250514600,426651761,34.12
Europe,744807803,250427740,33.62
Slovakia,5643455,1868801,33.11
Oceania,45038860,14596499,32.41
French Guiana,304568,98041,32.19
Montserrat,4413,1403,31.79
Croatia,4030361,1277094,31.69
Wallis and Futuna,11596,3550,30.61
United States,338289856,103436829,30.58
Uruguay,3422796,1040596,30.4
Guam,171783,52187,30.38
Mongolia,3398373,1011319,29.76
Spain,47558632,13980340,29.4
Bermuda,64207,18860,29.37
Northern Mariana Islands,49574,14334,28.91
New Caledonia,289959,80064,27.61
Norway,5434324,1489459,27.41
Japan,123951696,33803572,27.27
Chile,19603736,5319739,27.14
Finland,5540745,1499712,27.07
Tuvalu,11335,2943,25.96
Sweden,10549349,2728931,25.87
French Polynesia,306292,78700,25.69
United States Virgin Islands,99479,25389,25.52
Sint Maarten (Dutch part),44192,11051,25.01
Anguilla,15877,3904,24.59
Curacao,191173,45883,24
Mauritius,1299478,311465,23.97
Costa Rica,5180836,1230653,23.75
Panama,4408582,1041696,23.63
British Virgin Islands,31332,7392,23.59
Micronesia (country),114178,26547,23.25
Malta,533293,120705,22.63
Lebanon,5489744,1239904,22.59
Hungary,9967304,2212994,22.2
Argentina,45510324,10072905,22.13
Dominica,72758,16027,22.03
Greenland,56494,11971,21.19
North America,600323657,124476184,20.73
Turkey,85341248,17004677,19.93
Bulgaria,6781955,1312102,19.35
Moldova,3272993,627458,19.17
